category,question,answers,used
Geography,"This peak experiences geological uplift, growing approximately 4 mm every year. Its ""death zone"" above 8,000 meters is notorious for its harsh conditions, where the thin air contains insufficient oxygen to sustain human life for extended periods, contributing to the peril many climbers face. Successfully ascended for the first time by Sir Edmund Hillary and Tenzing Norgay in 1953, this mountain is renowned globally. What is the name of this mountain, known as the highest point on Earth?",Mount Everest,TRUE
Geography,"This South American river is home to the uniquely colored and intelligent pink river dolphin. It flows through the world's largest tropical rainforest, encompassing an area twice the size of India. Despite its vast length, it has no bridges due to its width and the dense forest surrounding much of its length. It is the second-longest river globally but discharges the largest volume of water, influencing the Atlantic Ocean up to 100 miles from its mouth. What is the name of this river?",Amazon River,TRUE
Geography,"This vast desert is not only composed of sand dunes; it also features mountains, rock plateaus, and extensive gravel plains. It is home to the desert ant, Cataglyphis bicolor, known for its unique ability to withstand extreme temperatures by sprinting across the sand. Despite its arid climate, it houses over 20 lakes, most of which are saltwater lakes. Covering most of North Africa, it is nearly as large as the United States. What is the name of this desert, the largest hot desert in the world?",Sahara Desert,TRUE
Geography,"This ancient lake contains over 20% of the world's unfrozen freshwater reserve. It earned the nickname ""Galápagos of Russia"" due to its unique biodiversity. It is home to the world's only freshwater seal species. This UNESCO World Heritage Site boasts an exceptional array of endemic species. Located in southern Siberia, it is the world's deepest lake. What is the name of this lake, often referred to as the 'Pearl of Siberia'?",Lake Baikal,TRUE
Geography,"This marine structure is large enough to be visible from space, comprising over 2,900 individual reefs and 900 islands. It hosts a significant population of dugongs and is one of the most biodiverse ecosystems on the planet. The reef is a breeding area for humpback whales migrating from the Antarctic. Located off the coast of Queensland in northeastern Australia, it is the world's largest coral reef system. What is the name of this UNESCO World Heritage Site known for its vibrant marine life?",Great Barrier Reef,TRUE
Geography,"In the arid regions surrounding this hypersaline lake, ancient manuscripts that include some of the earliest known religious texts were discovered, offering significant insights into early religious practices. Located at the lowest land elevation on Earth, this body of water allows swimmers to float effortlessly due to its extremely high salinity, which also supports a thriving health and cosmetics industry based on its mineral-rich mud. Bordered by Jordan to the east and Israel and the West Bank to the west, what is the name of this unique lake renowned for its buoyancy and therapeutic properties?",Dead Sea,FALSE
Geography,"Holding about 90% of the world’s ice and 70% of its fresh water, this continent is crucial for global climate regulation. Governed by an international treaty that designates it as a scientific preserve and prohibits military activity, it has no indigenous human population and supports only temporary research communities. The extreme environment, featuring the coldest temperatures recorded on Earth, facilitates studies ranging from glaciology to climate science. What is the name of this continent, renowned for its expansive ice sheets and unique legal status?",Antarctica,FALSE
Geography,"Flowing through more countries than any other river in the world, this major European waterway starts in the Black Forest mountains of western Germany and extends through Central and Eastern Europe to the Black Sea. It has been a vital conduit for cultural exchange among the diverse regions along its path, historically serving as a long-standing frontier of the Roman Empire. Today, it plays a crucial role in the regions’ commerce, environmental sustainability, and tourism. What is the name of this second-longest river in Europe, known for connecting ten countries?",The Danube,FALSE
Geography,"Known locally as 'Mosi-oa-Tunya,' which translates to 'The Smoke That Thunders,' this natural wonder creates a thunderous roar and a mist that can be seen from miles away. It forms one of the largest curtains of falling water in the world, drawing visitors from all over the globe to its breathtaking views. Designated as a UNESCO World Heritage site, it straddles the border between Zambia and Zimbabwe along the Zambezi River. What is the name of this magnificent waterfall, celebrated as one of the Seven Natural Wonders of the World?",Victoria Falls,FALSE
Geography,,Mount Kilimanjaro,
