category,question,answers,used
US History,"Before entering politics, this future president briefly ran a general store and served as a Captain for the Illinois Miltia during the Black Hawk War. Despite his iconic image, he is the only president to hold a patent for an invention. His stovepipe hat was a practical accessory meant to hold important documents and letters. Name this president known for his leadership during the Civil War.",Abraham Lincoln,FALSE
US History,"Before becoming president, this man owned a whiskey distillery, one of the largest in the nation. From 1749 to 1750, he served in his first public office as surveyor of Culpeper County in the Colony of Virginia. This Founding Father led the Continental Army in battle against the British during the Revolutionary War. Name this general and first president of the United States.",George Washington,FALSE
US History,"This individual won a Grammy Award for his audiobook ""Dreams from My Father"" and taught constitutional law at the University of Chicago Law School.He was the first African American president of the Harvard Law Review in 1990. He was awarded the Nobel Peace Prize in 2009. Can you name this prominent political figure?",Barack Obama,FALSE
US History,"When this minister received the Nobel Peace Prize he was the youngest recepient at age 35. This leader from Atlanta, Georgia famously advocated for nonviolent resistance as a strategy for social change. His most famous speech includes the repeated phrase ""I Have a Dream,"" delivered on the steps of the Lincoln Memorial. Name this iconic Civil Rights leader.",Martin Luther King Jr.,FALSE
US History,"This women's rights advocate and social reformer was arrested and fined for illegally attempting to vote in the 1872 presidential election.  She was once depicted on a dollar coin issued by the U.S. Treasury, though it failed to gain widespread circulation. She co-founded the National Woman Suffrage Association with Elizabeth Cady Stanton. Name this tireless champion of women's rights",Susan B. Anthony,FALSE
US History,"This pivotal event was triggered by legislation passed in 1773 that aimed to rescue the financially struggling British East India Company. It involved a late-night act of rebellion where protestors, some disguised as Mohawk Indians, boarded three ships in a famous harbor. What is this event, famously associated with the phrase ""No taxation without representation""?",The Boston Tea Party,FALSE
US History,"This famous American traitor started his military career as a pharmacist and bookseller. He initially became a hero in the early stages of the American Revolutionary War by playing a key role in the capture of Fort Ticonderoga and was pivotal in the Battle of Saratoga. However, his name became synonymous with treason after his plot to surrender West Point to the British was exposed. He later served as a brigadier general in the British Army. Who is this controversial figure in American history?",Benedict Arnold,FALSE
US History,"This pivotal event of World War II occurred on June 6, 1944. The planning of this operation was shrouded in secrecy, utilizing deception techniques such as fake equipment and phantom armies. It involved the largest amphibious invasion in history with the use of over 5,000 vessels and 13,000 aircraft and marked a turning point in the war against Nazi Germany. Originally codenamed Operation Overlord, what is this historic day commonly known as?","D-Day, D Day, Battle of Normandy",FALSE
US History,"Before joining NASA, this astronaut flew 78 combat missions during the Korean War and tested high-speed aircraft, including the X-15. He was part of the Gemini 8 mission, achieving the first successful docking of two spacecraft in orbit. He later became the first person to walk on the moon, famously declaring, ""That's one small step for [a] man, one giant leap for mankind."" Who is this pioneering astronaut?",The Moon Landing,FALSE
US History,"This day in U.S. history witnessed a brave act of passenger resistance aboard United Flight 93, which resulted in the plane crashing into a field in Pennsylvania, thwarting the hijackers' intended attack on the nation's capital. The aftermath of the attacks on this day saw significant changes in U.S. policy, including the establishment of the Department of Homeland Security and stricter aviation security measures. The same day, other hijacked planes struck the World Trade Center and the Pentagon. What is the date of these pivotal events known as in American history?","9/11, 9/11/2001, 9/11/01, September 11, September 11 2001",FALSE
